"NoFilter";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";""
"Données générales";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";""
"";"2006";"2007";"2008";"2009";"2010";"2011";"2014"
"Nombre de ménages ( en milliers )";"2291.0";"2344.0";"2407.2";"2474.6";"2539.1";"2605.6";"2713.0"
"Nombre moyen de personnes par ménage";"4.4";"4.4";"4.3";"4.2";"4.2";"4.1";"--"
"Part des ménages ayant une voiture (%)";"20.0";"21.3";"22.7";"22.6";"19.0";"--";"--"
"Pourcentage des ménages ayant le téléphone fixe (%)";"32.1";"30.7";"27.4";"26.1";"26.0";"23.4";"--"
"Pourcentage des ménages ayant un téléviseur ( %)";"92.7";"94.4";"95.4";"96.7";"97.1";"97.6";"--"
