"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : Nombre";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Evolution de la population active en chômage selon le sexe";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"deuxième-trimestre 2021";"troisième-trimestre 2021";"quatrième-trimestre 2021";"première-trimestre 2022";"deuxième-trimestre 2022";"troisième-trimestre 2022";"quatrième-trimestre 2022";"première-trimestre 2023";"deuxième-trimestre 2023"
"Evolution de la population active en chômage";"746.4";"762.7";"673.5";"653.2";"626.1";"613.6";"624.6";"655.8";"638.1"
"Masculin";"440.5";"452.7";"390.0";"395.9";"371.0";"373.7";"368.0";"397.2";"377.5"
"Féminin";"305.9";"310.0";"283.5";"257.3";"255.1";"239.9";"256.6";"258.6";"260.6"
